,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,thompson,90,CA,1580239173,85,55.74,-97.86,263.15,3.1
88,airai,100,TL,1580239173,86,-8.93,125.41,293.52,1.79
89,vilhena,40,BR,1580239173,83,-12.74,-60.15,299.15,4.6
90,opunake,100,NZ,1580239173,97,-39.46,173.86,291.48,2.68
91,hermanus,3,ZA,1580239174,92,-34.42,19.23,292.04,3.58
92,ouallam,97,NE,1580239174,6,14.32,2.09,300.8,4.44
93,dodoma,100,TZ,1580239174,87,-6.17,35.74,293.76,0.29
94,tsuruoka,100,JP,1580238955,98,38.72,139.82,274.43,6.66
95,iskateley,0,RU,1580239174,95,67.68,53.15,247.01,3.85
96,georgetown,20,MY,1580239083,78,5.41,100.34,302.15,3.1
97,dikson,56,RU,1580239175,98,73.51,80.55,247.68,5.52
98,kodiak,1,US,1580239175,78,57.79,-152.41,264.15,3.6
99,olenino,100,RU,1580239175,94,56.21,33.49,272.03,2.01
100,saskylakh,38,RU,1580239175,96,71.92,114.08,245.05,3.65
101,taoudenni,91,ML,1580239175,16,22.68,-3.98,299.17,4.66
102,port blair,100,CD,1580239169,84,-7.03,29.76,296.52,7.46
103,ulvik,75,NO,1580239176,54,60.57,6.92,273.71,9.8
104,mys shmidta,54,RU,1580239176,99,62.06,48.62,249.7,1.96
105,san patricio,17,ML,1580239176,4,13.3,-4.9,303.27,3.92
106,talnakh,75,RU,1580239177,85,69.49,88.4,262.15,5.0
107,padang,100,ID,1580239000,99,-0.95,100.35,294.35,2.4
108,paranaiba,0,BR,1580239177,49,-19.68,-51.19,304.33,2.37
109,weymouth,90,US,1580239177,51,42.22,-70.94,277.59,3.6
110,omsukchan,100,RU,1580239178,98,62.53,155.8,256.87,2.87
111,porto novo,90,PT,1580238952,100,41.15,-8.61,289.82,4.6
112,khasan,100,RU,1580239178,75,42.43,130.64,267.8,1.53
113,maragogi,3,BR,1580239178,76,-9.01,-35.22,300.4,5.4
114,acapulco,5,MX,1580239151,66,16.86,-99.89,302.15,2.1
115,faanui,93,PF,1580239179,75,-16.48,-151.75,301.19,3.89
116,letlhakane,26,BW,1580239179,46,-21.42,25.58,299.8,3.41
117,ismailia,17,EG,1580239018,74,30.6,32.27,286.48,3.84
118,araouane,0,ML,1580239179,8,18.9,-3.53,301.17,3.96
119,tezu,0,IN,1580239144,57,27.92,96.17,283.99,1.6
120,naliya,0,IN,1580239180,63,23.27,68.83,289.8,4.89
121,hazorasp,0,UZ,1580239180,74,41.32,61.07,274.15,2.1
122,pangody,100,RU,1580239180,95,65.85,74.49,253.54,7.58
123,saint-philippe,20,RE,1580239180,73,-21.36,55.77,296.15,2.6
124,tabou,89,CI,1580239180,81,4.42,-7.35,300.31,1.95
125,avarua,18,CK,1580239181,88,-21.21,-159.78,300.15,2.6
126,tarko-sale,98,RU,1580239093,97,64.92,77.78,253.37,5.8
127,tadine,100,NC,1580239181,83,-21.55,167.88,296.02,3.19
128,saldanha,4,ZA,1580239181,77,-33.01,17.94,292.15,6.2
129,ahuimanu,40,US,1580239182,73,21.44,-157.84,297.15,1.5
130,laguna,90,US,1580239182,76,38.42,-121.42,288.71,2.1
131,sur,0,OM,1580239182,47,22.57,59.53,291.4,7.57
132,najran,5,SA,1580239182,30,17.49,44.13,287.15,1.1
133,norman wells,90,US,1580238957,100,35.22,-97.44,278.15,5.1
134,lianran,75,CN,1580239183,100,24.92,102.48,278.15,3.0
135,komsomolskiy,0,UZ,1580239183,66,40.43,71.72,274.15,1.0
136,wajima,100,JP,1580239183,89,37.4,136.9,283.69,5.39
137,iqaluit,75,CA,1580239183,67,63.75,-68.51,243.15,9.3
138,bluff,86,NZ,1580239184,82,-46.6,168.33,288.71,2.58
139,gabu,85,GW,1580239184,10,12.28,-14.22,310.8,1.1
140,coihaique,75,CL,1580239184,50,-45.58,-72.07,288.15,3.6
141,vila velha,90,PT,1580239184,100,42.03,-8.16,288.71,4.1
142,necochea,0,AR,1580238890,37,-38.55,-58.74,303.15,4.02
143,cabo san lucas,40,BR,1580239185,66,-8.28,-35.03,303.15,5.7
144,mana,98,GF,1580239185,59,5.66,-53.78,303.85,2.94
145,puertollano,75,ES,1580239185,93,38.69,-4.11,284.26,2.6
146,loandjili,20,CG,1580239186,79,-4.76,11.86,302.15,2.1
147,vitoria de santo antao,75,BR,1580239117,79,-20.32,-40.34,302.59,6.7
148,darhan,57,MN,1580239186,79,49.49,105.92,255.52,2.96
149,mahajanga,40,MG,1580239186,94,-15.72,46.32,298.15,4.1
150,kirakira,86,SB,1580239186,84,-10.45,161.92,298.44,1.15
151,minab,0,IR,1580238989,81,27.15,57.08,284.15,1.0
152,simdega,0,IN,1580239187,45,22.62,84.52,291.12,2.35
153,cherskiy,100,RU,1580239187,97,68.75,161.3,242.97,4.54
154,bucerias,5,MX,1580239187,61,20.75,-105.33,299.26,5.7
155,narsimhapur,37,IN,1580239187,50,22.95,79.2,290.74,2.54
156,qixingtai,50,CN,1580239187,84,30.41,111.89,276.48,1.83
157,kununurra,69,AU,1580239188,88,-15.77,128.73,301.15,2.1
158,bardiyah,8,LY,1580239188,74,31.76,25.09,288.21,7.79
159,bilibino,100,RU,1580239188,96,68.05,166.44,256.94,0.71
160,san vicente,17,ML,1580239176,4,13.3,-4.9,303.27,3.92
161,puerto ayora,75,ES,1580238931,87,36.59,-6.23,288.15,0.5
162,berlevag,40,NO,1580239189,66,70.86,29.09,263.15,6.7
163,fort nelson,20,NL,1580239189,86,52.65,6.39,278.15,5.1
164,mount isa,40,GB,1580239189,93,53.66,-1.85,278.71,7.2
165,tolstoy-yurt,75,RU,1580239189,93,43.44,45.77,277.15,5.0
166,port arthur,100,CD,1580239175,84,-7.03,29.76,296.52,7.46
167,nelson bay,100,NZ,1580238979,83,-41.28,173.28,293.15,1.34
168,yar-sale,99,RU,1580239190,94,66.83,70.83,251.79,8.66
169,luwingu,15,ZM,1580239190,92,-10.26,29.93,291.8,1.15
170,sayyan,7,YE,1580239190,31,15.17,44.32,282.89,0.92
171,lingao,95,CN,1580239191,75,19.91,109.69,290.24,5.21
172,arlit,87,NE,1580239191,7,18.74,7.39,299.44,3.99
173,nanortalik,67,GL,1580239191,72,60.14,-45.24,267.66,7.26
174,salisbury,65,GB,1580239191,86,51.07,-1.8,278.15,5.1
175,colares,75,PT,1580239191,93,38.8,-9.45,289.26,3.6
176,auki,94,SB,1580239192,71,-8.77,160.7,302.16,1.57
177,netivot,75,IL,1580239192,82,31.42,34.59,286.48,2.8
178,fairbanks,90,US,1580239062,74,64.84,-147.72,245.93,1.39
179,butaritari,90,KI,1580239192,81,3.07,172.79,301.89,8.38
180,port hardy,100,CD,1580239169,84,-7.03,29.76,296.52,7.46
181,gorey,12,IE,1580239193,85,52.67,-6.29,276.48,2.24
182,kudahuvadhoo,100,MV,1580239193,76,2.67,72.89,300.43,6.56
183,leningradskiy,94,RU,1580239193,91,69.38,178.42,249.05,4.15
184,kaeo,18,NZ,1580239193,100,-35.1,173.78,293.71,1.24
185,mannarakkat,20,IN,1580239193,74,10.98,76.47,299.15,1.0
186,husavik,90,IS,1580239194,85,66.04,-17.34,267.15,3.1
187,sakakah,40,SA,1580239194,22,29.97,40.21,285.15,3.1
188,mount pleasant,40,GB,1580239189,93,53.66,-1.85,278.71,7.2
189,yucca valley,24,US,1580239194,43,34.8,-85.81,287.15,0.65
190,netrakona,0,BD,1580239195,60,24.88,90.72,289.36,1.94
191,tucurui,65,BR,1580239195,74,-3.77,-49.67,302.11,0.49
192,wanning,97,CN,1580239195,93,18.8,110.4,287.23,3.51
193,port hedland,100,CD,1580239169,84,-7.03,29.76,296.52,7.46
194,jinchang,0,CN,1580239195,25,38.5,102.17,266.7,1.8
195,magistralnyy,76,RU,1580239196,87,56.17,107.45,262.59,2.23
196,navahrudak,100,BY,1580239196,89,53.6,25.83,274.24,5.38
197,belaya gora,89,UA,1580239196,74,49.03,25.77,278.15,0.45
