,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,natal,40,BR,1580226462,59,-5.79,-35.21,306.15,6.7
88,souris,90,CA,1580226321,84,49.62,-100.26,260.15,3.6
89,robertsport,48,LR,1580226482,78,6.75,-11.37,300.65,3.2
90,kalemie,100,CD,1580226482,97,-5.95,29.19,291.11,1.1
91,jamestown,90,US,1580226482,92,42.1,-79.24,274.26,5.7
92,ronne,100,DK,1580226483,100,55.1,14.71,279.15,3.6
93,olafsvik,30,IS,1580226483,67,64.89,-23.71,273.99,4.35
94,grand gaube,20,US,1580226483,92,38.88,-109.5,270.37,4.1
95,mahebourg,75,MU,1580226483,74,-20.41,57.7,299.15,1.5
96,yamada,100,JP,1580226483,83,39.47,141.95,278.64,5.7
97,puerto ayora,75,ES,1580226484,72,36.59,-6.23,290.15,2.6
98,maniitsoq,43,GL,1580226263,71,65.42,-52.9,259.26,4.12
99,boa vista,10,CM,1580226484,56,4.43,8.97,303.59,4.88
100,airai,100,TL,1580226484,92,-8.93,125.41,294.05,1.09
101,codrington,32,AU,1580226213,89,-38.27,141.97,289.86,1.79
102,bengkulu,100,ID,1580226485,91,-3.8,102.27,297.97,1.58
103,weligama,40,LK,1580226485,87,5.97,80.42,296.71,2.63
104,san policarpo,34,ML,1580226274,3,13.3,-4.9,308.47,5.89
105,dao,47,PH,1580226485,90,11.39,122.69,296.08,0.93
106,poso,41,ID,1580226486,90,-1.4,120.75,294.18,0.45
107,vao,100,NC,1580226486,73,-22.67,167.48,298.22,4.41
108,san patricio,34,ML,1580226302,3,13.3,-4.9,308.47,5.89
109,beringovskiy,97,RU,1580226486,100,63.05,179.32,254.6,4.31
110,bealanana,100,MG,1580226486,98,-14.55,48.73,292.96,1.53
111,santa fe,10,PH,1580226488,88,17.49,120.43,293.48,1.16
112,eyl,100,SO,1580226488,71,7.98,49.82,297.65,12.56
113,shelburne,90,CA,1580226290,90,44.08,-80.2,273.15,5.7
114,sao felix do xingu,2,IN,1580226489,44,20.51,76.21,294.38,2.86
115,kapaa,1,US,1580226407,81,22.08,-159.32,292.15,3.1
116,hobart,97,AU,1580226249,67,-42.88,147.33,290.37,3.6
117,east london,75,IS,1580226490,100,65.0,-15.0,270.15,1.5
